query_id,iteration,query,doc_id,title,bm25_rank,bm25_score,llm_score,hybrid_score,llm_reason,relevance
1037798,1,who is robert gray,8760867,MS MARCO Passage 8760867,1,19.073422,8.0,8.3,"Document mentions Robert Gray as Democratic nominee for Mississippi Governor, matching query.",0.0
1037798,1,who is robert gray,8760864,MS MARCO Passage 8760864,2,17.602359,8.0,8.15,"Document mentions 'Robert Gray' as a candidate for governor, matching query.",0.0
1037798,1,who is robert gray,3641634,MS MARCO Passage 3641634,3,16.826389,8.0,8.0,Document is about Captain Robert Gray's discovery of the Columbia River in 1792.,3.0
1037798,1,who is robert gray,2157456,MS MARCO Passage 2157456,4,16.694498,8.0,7.85,"Document mentions Robert Gray Army Air Field Airport, which matches query term 'Robert Gray'",0.0
1037798,1,who is robert gray,8760873,MS MARCO Passage 8760873,5,16.376731,8.0,7.7,"Document mentions 'Robert Gray' as a candidate, matching query.",0.0
1037798,1,who is robert gray,3620983,MS MARCO Passage 3620983,8,15.131319,8.0,7.25,Passage provides information about Robert Gray's background and campaign for Governor of Mississippi.,0.0
1037798,1,who is robert gray,8760870,MS MARCO Passage 8760870,10,14.025003,8.0,6.95,"Document mentions Robert Gray as Democratic nominee for Mississippi Governor, matching query.",0.0
1037798,1,who is robert gray,8760868,MS MARCO Passage 8760868,9,14.827966,6.0,5.4,"Document mentions a person named Robert Gray, but context is about a political primary, not general information.",0.0
1037798,1,who is robert gray,4788864,MS MARCO Passage 4788864,6,16.150983,2.0,2.45,"Passage mentions a person named Robert, but context is about Robert E. Lee and not directly related to query.",0.0
1037798,1,who is robert gray,2787508,MS MARCO Passage 2787508,7,16.135051,2.0,2.3,"Passage is about Henry Gray, not Robert Gray. Only mentions Robert Lockwood, Jr. as a collaborator.",0.0
1037798,2,who is robert gray,8760867,MS MARCO Passage 8760867,1,19.073422,8.0,8.3,"Document mentions Robert Gray as Democratic nominee for Mississippi Governor, matching query.",0.0
1037798,2,who is robert gray,8760864,MS MARCO Passage 8760864,2,17.602359,8.0,8.15,"Document mentions 'Robert Gray' as a candidate for governor, matching query.",0.0
1037798,2,who is robert gray,3641634,MS MARCO Passage 3641634,3,16.826389,8.0,8.0,Document is about Captain Robert Gray's discovery of the Columbia River in 1792.,3.0
1037798,2,who is robert gray,2157456,MS MARCO Passage 2157456,4,16.694498,8.0,7.85,"Document mentions Robert Gray Army Air Field Airport, which matches query term 'Robert Gray'",0.0
1037798,2,who is robert gray,8760873,MS MARCO Passage 8760873,5,16.376731,8.0,7.7,"Document mentions 'Robert Gray' as a candidate, matching query.",0.0
1037798,2,who is robert gray,3620983,MS MARCO Passage 3620983,8,15.131319,8.0,7.25,Passage provides information about Robert Gray's background and campaign for Governor of Mississippi.,0.0
1037798,2,who is robert gray,8760870,MS MARCO Passage 8760870,10,14.025003,8.0,6.95,"Document mentions Robert Gray as Democratic nominee for Mississippi Governor, matching query.",0.0
1037798,2,who is robert gray,8760868,MS MARCO Passage 8760868,9,14.827966,6.0,5.4,"Document mentions a person named Robert Gray, but context is about a political primary, not general information.",0.0
1037798,2,who is robert gray,4788864,MS MARCO Passage 4788864,6,16.150983,2.0,2.45,"Passage mentions a person named Robert, but context is about Robert E. Lee and not directly related to query.",0.0
1037798,2,who is robert gray,2787508,MS MARCO Passage 2787508,7,16.135051,2.0,2.3,"Passage is about Henry Gray, not Robert Gray. Only mentions Robert Lockwood, Jr. as a collaborator.",0.0
