query_id,iteration,query,doc_id,title,bm25_rank,bm25_score,llm_score,hybrid_score,llm_reason,relevance,final_rank
1037798,1,who is robert gray,8760867,MS MARCO Passage 8760867,1,19.073422,8.0,8.3,"Document mentions Robert Gray as Democratic nominee for Mississippi Governor, matching query.",0.0,1
1037798,1,who is robert gray,8760864,MS MARCO Passage 8760864,2,17.602359,8.0,8.15,"Document mentions 'Robert Gray' as a candidate for governor, matching query.",0.0,2
1037798,1,who is robert gray,3641634,MS MARCO Passage 3641634,3,16.826389,8.0,8.0,Document is about Captain Robert Gray's discovery of the Columbia River in 1792.,3.0,3
1037798,1,who is robert gray,2157456,MS MARCO Passage 2157456,4,16.694498,8.0,7.85,"Document mentions Robert Gray Army Air Field Airport, which matches query term 'Robert Gray'",0.0,4
1037798,1,who is robert gray,8760873,MS MARCO Passage 8760873,5,16.376731,8.0,7.7,"Document mentions 'Robert Gray' as a candidate, matching query.",0.0,5
1037798,1,who is robert gray,3620983,MS MARCO Passage 3620983,8,15.131319,8.0,7.25,Passage provides information about Robert Gray's background and campaign for Governor of Mississippi.,0.0,6
1037798,1,who is robert gray,8760870,MS MARCO Passage 8760870,10,14.025003,8.0,6.95,"Document mentions Robert Gray as Democratic nominee for Mississippi Governor, matching query.",0.0,7
1037798,1,who is robert gray,8760868,MS MARCO Passage 8760868,9,14.827966,6.0,5.4,"Document mentions a person named Robert Gray, but context is about a political primary, not general information.",0.0,8
1037798,1,who is robert gray,4788864,MS MARCO Passage 4788864,6,16.150983,2.0,2.45,"Passage mentions a person named Robert, but context is about Robert E. Lee and not directly related to query.",0.0,9
1037798,1,who is robert gray,2787508,MS MARCO Passage 2787508,7,16.135051,2.0,2.3,"Passage is about Henry Gray, not Robert Gray. Only mentions Robert Lockwood, Jr. as a collaborator.",0.0,10
104861,1,cost of interior concrete flooring,5150431,MS MARCO Passage 5150431,3,19.15309,9.0,8.85,"Provides specific price ranges for various types of flooring, including concrete, which matches the query.",2.0,1
104861,1,cost of interior concrete flooring,409268,MS MARCO Passage 409268,4,18.846537,9.0,8.7,"Passage directly addresses cost, design features, and maintenance of interior concrete flooring.",1.0,2
104861,1,cost of interior concrete flooring,8141081,MS MARCO Passage 8141081,1,19.32913,8.0,8.3,"Passage discusses costs of ceramic tile flooring, which is a type of interior concrete flooring.",0.0,3
104861,1,cost of interior concrete flooring,5379458,MS MARCO Passage 5379458,6,18.274565,8.0,7.55,"Passage discusses types of concrete floor finishes, including interior applications, which is relevant to cost query.",0.0,4
104861,1,cost of interior concrete flooring,8259116,MS MARCO Passage 8259116,7,17.924265,8.0,7.4,"Passage discusses average prices, design features, and maintenance of interior concrete flooring.",0.0,5
104861,1,cost of interior concrete flooring,6200735,MS MARCO Passage 6200735,8,17.90173,8.0,7.25,"Passage discusses stained concrete flooring costs, directly addressing query about interior concrete flooring expenses.",0.0,6
104861,1,cost of interior concrete flooring,5405670,MS MARCO Passage 5405670,9,17.788817,8.0,7.1,"Passage discusses various building costs and mentions concrete slab as an option, but doesn't directly address interior concrete flooring.",0.0,7
104861,1,cost of interior concrete flooring,2958127,MS MARCO Passage 2958127,10,17.729494,8.0,6.95,Passage mentions stamped concrete as a material suitable for interior flooring.,0.0,8
104861,1,cost of interior concrete flooring,6436838,MS MARCO Passage 6436838,2,19.302444,6.0,6.45,"Passage mentions concrete floor finishes and uses, but doesn't specifically address cost of interior concrete flooring.",0.0,9
104861,1,cost of interior concrete flooring,8260037,MS MARCO Passage 8260037,5,18.474125,6.0,6.0,"Mentions decorative concrete flooring as an alternative, but doesn't specifically address cost or interior application.",0.0,10
1063750,2,US entry into WW1 voluntary,4788295,MS MARCO Passage 4788295,1,17.396277,8.0,8.3,"Passage explains US entry into WW1 in April 1917, clarifying it was not influenced by the Bolshevik Revolution.",0.0,1
1063750,2,US entry into WW1 voluntary,3633198,MS MARCO Passage 3633198,3,15.108272,8.0,8.0,"Passage discusses Britain's entry into WW1 and reasons for it, including German invasion of Belgium.",0.0,2
1063750,2,US entry into WW1 voluntary,5956099,MS MARCO Passage 5956099,4,14.558985,8.0,7.85,"Passage discusses US entry into WW1, specifically due to German submarine warfare and its impact on the war's outcome.",2.0,3
1063750,2,US entry into WW1 voluntary,7571423,MS MARCO Passage 7571423,5,12.130796,8.0,7.7,"Passage explains US entry into WW1 due to German submarine warfare, matching query's focus on voluntary entry.",2.0,4
1063750,2,US entry into WW1 voluntary,4802036,MS MARCO Passage 4802036,6,11.981716,8.0,7.55,"Passage directly addresses US entry into WW1, but does not mention voluntary aspect.",1.0,5
1063750,2,US entry into WW1 voluntary,8239876,MS MARCO Passage 8239876,7,11.700931,8.0,7.4,"Passage discusses US entry into WW1 due to German submarine warfare, matching query's focus on voluntary entry.",2.0,6
1063750,2,US entry into WW1 voluntary,8239877,MS MARCO Passage 8239877,8,11.571297,8.0,7.25,"Passage discusses US entry into WW1 due to German submarine warfare, matching query's focus on voluntary entry.",2.0,7
1063750,2,US entry into WW1 voluntary,2197526,MS MARCO Passage 2197526,9,11.244608,8.0,7.1,"Mentions US role in WW1, but notes they didn't ratify a key treaty, partially addressing query's 'voluntary' aspect.",0.0,8
